PAC,long,lat
MT4370212545346401MT02,-45.614665909703945,-23.02583646008452
MT4391473245333453MT02,-45.59386731482465,-23.027398836087343
MT4367683645394948MT02,-45.617096385989385,-23.0216584274944
MT4357635645319807MT02,-45.6269473285563,-23.028391151630274
MT43676022453943MT02,-45.61709599748224,-23.021658880752682
MT4376688645388602MT02,-45.608328807228645,-23.021968779935207
MT4356924945322526MT02,-45.627631877209296,-23.028163063774343
MT43678045329298MT02,-45.61700671998409,-23.027581569333904
MT4374276245465495MT02,-45.610638830117864,-23.01530549515246
MT437336764544403MT02,-45.61154159476877,-23.017231654117495
MT4376645545394795MT02,-45.608423876360746,-23.02145036843973
MT4353355145352203MT02,-45.63113606397815,-23.025448248837563
MT436793145390227MT02,-45.61676700029676,-23.022019045742297
MT4367298645398558MT02,-45.617656367747145,-23.021467541893514
MT2986566ID,-45.60823097268121,-23.026613325044877
MT318984965ID,-45.63109632113827,-23.0254643952656
MT4375904245417705MT02,-45.60897304017362,-23.019934404649007
MT4371202445436003MT02,-45.61338757467678,-23.017776252072338
MT4353498245351507MT02,-45.63098189140112,-23.025516430039147
MT4372602145298855MT02,-45.612344778388774,-23.030357830449475
MT437206545442666MT02,-45.612749866313266,-23.0173283321368
MT4381271445342233MT02,-45.60385046582627,-23.02645892404007
MT4374689545455052MT02,-45.61023978114093,-23.016255144159516
MT43768445337082MT02,-45.60818411350601,-23.02691484794184
MT4371743145440155MT02,-45.61307286142335,-23.01756185189788
MT4376483845386788MT02,-45.608528252576775,-23.022440713568017
MT4370223545345297MT02,-45.614647373777245,-23.026053234469146
MT437146545438085MT02,-45.613387085445595,-23.017775892343536
MT4372403945445248MT02,-45.61242681454581,-23.017103756133395
MT4370967645439323MT02,-45.61387323646068,-23.01766154534397
MT4370966845439334MT02,-45.613881586665855,-23.017652300313387
MT4372116445443071MT02,-45.61247028057892,-23.01713402911213
MT4371465545438089MT02,-45.6133273605692,-23.017732493759524
MT437174254544015MT02,-45.61311534359817,-23.017590321735895
MT4372064545442662MT02,-45.61280019057631,-23.017364722304023
MT437240245445234MT02,-45.61246842078094,-23.017132771859906
MT4373378545444113MT02,-45.61152848714994,-23.01724642907942
MT4372446445445571MT02,-45.61216786645383,-23.016919760238693
MT312514230ID,-45.61410044388032,-23.017408370899545
MT4362610545365087MT02,-45.62205766782705,-23.024337448514416
MT4357677345313878MT02,-45.62689542688241,-23.028943817403217
MT4381533745355366MT02,-45.60359432451844,-23.025284879793332
MT4368137845312082MT02,-45.61668738421537,-23.029146163964242
MT4363083345324393MT02,-45.62161545229122,-23.028014100070607
MT436798324530429MT02,-45.61684029864085,-23.029849964404264
MT43587739453043MT02,-45.625827931613685,-23.029811058833275
MT4367478845307887MT02,-45.6173323501078,-23.029522495166987
MT4391126945331848MT02,-45.59424315679621,-23.027444578304596
MT4388816345350428MT02,-45.59648968215305,-23.025757600332952
MT437004845329288MT02,-45.61481629073916,-23.02759885610226
MT439156445356597MT02,-45.59380737860761,-23.025212243350325
MT4358016845334543MT02,-45.62655429424524,-23.027077678292187
MT4360073845314561MT02,-45.62455513820902,-23.028890563148934
MT4358347845291393MT02,-45.626250639955,-23.030977177354828
MT4370450145328359MT02,-45.61442230224742,-23.027685116374982
MT4355293545342741MT02,-45.62920858480828,-23.026326618478606
MT4364453345325464MT02,-45.62027749311176,-23.027921432128323
MT4361859245357767MT02,-45.62279380339129,-23.024995772936506
MT4359074845307856MT02,-45.625531814541546,-23.029491376825547
MT436398545379898MT02,-45.62070986286983,-23.02300286808787
MT4358224445290821MT02,-45.62637131188649,-23.031028459395827
MT4360065745314587MT02,-45.62456303245796,-23.02888818354279
MT4391572145356623MT02,-45.593806009839454,-23.025211797286545
MT4394335245365331MT02,-45.591096650190195,-23.024432539230247
MT4361853845357832MT02,-45.6227947746591,-23.024994684756848
MT4381528845355296MT02,-45.60359520855201,-23.025285960778433
MT4362605245365154MT02,-45.62205854106878,-23.02433636123402
MT4357683945313931MT02,-45.62689425236783,-23.028943008912677
MT437005645329318MT02,-45.614814921971,-23.027598410038536
MT4363091845324399MT02,-45.62161398819495,-23.028014015534325
MT4358773345304216MT02,-45.62582803593506,-23.029812414111575
MT436748614530793MT02,-45.617331078466464,-23.029521776608647
MT4359068945307796MT02,-45.62553289282869,-23.029492366079808
MT4358023545334469MT02,-45.626547786750905,-23.02708438813397
MT4368144545312134MT02,-45.61668620880147,-23.02914535547376
MT4354512545335392MT02,-45.62997385930612,-23.02698741153978
MT4370978145443643MT02,-45.61386044720183,-23.017272361030564
MT4371492245378264MT02,-45.61336700987954,-23.02343500312287
MT4362013745355791MT02,-45.62264481630518,-23.02517376765519
MT4391988145334911MT02,-45.59315326571061,-23.027098183734154
MT4370732845442127MT02,-45.61410044388032,-23.017408370899545
MT4383778645366345MT02,-45.60139998142398,-23.02430257730208
MT4383479545366141MT02,-45.60169195711808,-23.024319895546682
MT437598145374737MT02,-45.60896863529422,-23.023777900229845
MT4384275945359751MT02,-45.6009173026913,-23.024900050896576
MT4363054345359573MT02,-45.62147343585036,-23.02500864133566
MT438000564533373MT02,-45.60483524684912,-23.02725982877803
MT4355885845313867MT02,-45.628642644142644,-23.02893706619261
MT4393642645363192MT02,-45.59155013872788,-23.02456128257711
MT4382729445365632MT02,-45.60238614470478,-23.024103350489213
MT4362536645344871MT02,-45.622139040284424,-23.026162164851996
MT4370478745303638MT02,-45.61438723408355,-23.030176026202582
MT4353956945331085MT02,-45.63047392013527,-23.027425870607374
MT4372478245274514MT02,-45.612465577124624,-23.032555284298894
MT4371651545380083MT02,-45.61338547206185,-23.023179927511592
MT4384932845367134MT02,-45.600525910542274,-23.024250704406427
MT4362742545346601MT02,-45.621937381704754,-23.026006686459368
MT4391736745334199MT02,-45.5934006988831,-23.027172231213456
MT4381642345356967MT02,-45.60348858043358,-23.025141748193107
MT4365100345325786MT02,-45.61964496304455,-23.02789590757004
MT4361786445354072MT02,-45.62286735354547,-23.025328170458636
MT4369716245433638MT02,-45.6150959753989,-23.018171322448552
MT4361705445359579MT02,-45.62294411697735,-23.024830418189197
MT4369616445423871MT02,-45.61519736766434,-23.019053187754366
MT435867634532217MT02,-45.62591583404844,-23.02819786304093
MT43633345339559MT02,-45.62136694712689,-23.026645034240914
MT4370546545294565MT02,-45.61432081285517,-23.031025120213087
MT4362531845323992MT02,-45.622152379928366,-23.028048122322957
MT4384953245364151MT02,-45.60025455900063,-23.024505110922064
MT4363781745324892MT02,-45.62093219236675,-23.027971617895787
MT436321324535767MT02,-45.62131941615809,-23.025196319954148
MT4362261345330291MT02,-45.622703095071756,-23.02751445203029
MT4355965945314668MT02,-45.628564136026,-23.02886502330216
MT4359150445293532MT02,-45.62546527730069,-23.03078652557764
MT4364141845325192MT02,-45.62058063658708,-23.027945897285292
MT4360974745311689MT02,-45.62367711210902,-23.02915345476805
MT4382480145358522MT02,-45.60267033676661,-23.02500440193154
MT4363371945355599MT02,-45.62114397731267,-23.02539519423277
MT4362164945348982MT02,-45.62250008301237,-23.02578939676323
MT4383976445359542MT02,-45.60120967228852,-23.024917820600876
MT4384078445366553MT02,-45.60110732134575,-23.02428490022794
MT4362796945362724MT02,-45.62176568044174,-23.024679683720365
MT4374334545333813MT02,-45.610629764951625,-23.02720586945526
MT4370152545354798MT02,-45.614702489628144,-23.0252945151297
MT4362590245348756MT02,-45.622085120531835,-23.025811443643192
MT4358346445291387MT02,-45.62627605749401,-23.030986291084446
MT4364521945325392MT02,-45.620209603290505,-23.02792928590776
MT4362849745330988MT02,-45.62183923329394,-23.027417401691707
MT4360080245335655MT02,-45.6245401141349,-23.026985192912264
MT4367406345406671MT02,-45.617361202157724,-23.02059844875936
MT437047945325702MT02,-45.61449468957824,-23.028131068593893
MT4355581545311436MT02,-45.62894063989859,-23.029155475544712
MT4369912945450889MT02,-45.61489695902742,-23.0166138018854
MT4370593245288303MT02,-45.61427835226408,-23.031583708021685
MT4368046445411671MT02,-45.61673448890548,-23.020149239195973
MT4382581745365528MT02,-45.602568371633026,-23.024371933018244
MT4356046945315275MT02,-45.62848483111003,-23.028810508198376
MT4365640245300589MT02,-45.61912845451451,-23.030173985640886
MT4384377645366753MT02,-45.60090063105923,-23.024133026318054
MT437531254536941MT02,-45.60989621044172,-23.024008736414032
MT2985751ID,-45.61439576505245,-23.02792396282058
MT4371053345287229MT02,-45.61385102590407,-23.03140136328227
MT4370371445322255MT02,-45.61451500166595,-23.028413633782122
MT4356153245315892MT02,-45.62838083081067,-23.02875518730201
MT4362710745363789MT02,-45.62187761186226,-23.024550523088124
MT4358144845332714MT02,-45.62643014013884,-23.0272433837751
MT4365601845326192MT02,-45.61915536762609,-23.027861150571596
MT4361441545295692MT02,-45.62322818853005,-23.030600239109674
MT4383523345359232MT02,-45.6016596705573,-23.025203361645765
MT437014945449168MT02,-45.614667265881565,-23.0167701535197
MT438467445366956MT02,-45.60081525032348,-23.024267942611402
MT4362392545296592MT02,-45.62229968887948,-23.030522596140827
MT438228345365326MT02,-45.60285995612202,-23.024389069599863
MT4355581545311436MT02,-45.62882465163631,-23.029292967496417
MT4384377645366753MT02,-45.60081525032348,-23.024267942611402
MT4363192545298492MT02,-45.6215181438472,-23.030354040706356
MT4382779545358724MT02,-45.60237806789348,-23.024987268047937
MT4362392545350801MT02,-45.62227721122429,-23.025625962068432
MT43602525453332MT02,-45.6243729841259,-23.027207613240705
MT43920294453581MT02,-45.59337538476615,-23.024822460987764
MT4384973645361151MT02,-45.60023585040415,-23.024776174680653
MT437190344537996MT02,-45.613229268815644,-23.02301622122161
MT4373668945394384MT02,-45.611262357072064,-23.021574656545113
MT4363372545338992MT02,-45.62132570511716,-23.02669641340873
MT4392929645360987MT02,-45.5920123956555,-23.024686468205914
MT4354262545333392MT02,-45.63021867904877,-23.027167097883193
MT4369002545418992MT02,-45.61579845383551,-23.019491573976893
MT4370498245300771MT02,-45.61436192356388,-23.030448471319858
MT4370570245291374MT02,-45.614299623928446,-23.031302606929728
MT4370241745428692MT02,-45.614585185657745,-23.01862008235088
MT4382591545338812MT02,-45.602914387588896,-23.026797439650068
MT4363542445336803MT02,-45.62116080272881,-23.026894793959514
MT4369306445421471MT02,-45.61550086996914,-23.019268801114208
MT4355017445339955MT02,-45.62947920340247,-23.026577202875558
MT4358913745323991MT02,-45.625683388977166,-23.028034290749872
MT437077914528235MT02,-45.61393253056178,-23.03213624699015
MT4383675845359339MT02,-45.601503112078944,-23.024935041718777
MT4368921845328492MT02,-45.615914338675736,-23.027666038157065
MT4370452745307109MT02,-45.61440509192141,-23.029916979185202
MT4370525445297756MT02,-45.61434263670327,-23.030736790370554
MT4362561345330591MT02,-45.62212085419401,-23.027452155992137
MT4355522545312092MT02,-45.628997945598655,-23.02909599078731
MT4392366445349949MT02,-45.593131049758085,-23.025522627267378
MT4381883845338714MT02,-45.6036065930698,-23.026768966214775
MT4360675545312587MT02,-45.62396873976547,-23.02907118838459
MT4383528745354744MT02,-45.601628152916874,-23.02564438557988
MT4365241745325892MT02,-45.619506923405766,-23.027886873880107
MT4366321845326692MT02,-45.6184524925884,-23.027818733147967
MT4370810545297778MT02,-45.614083671524156,-23.03044756390392
MT4365961845326392MT02,-45.618803950342,-23.027844459154437
MT4366671845326892MT02,-45.6181108347472,-23.027802002160627
MT4370374845446994MT02,-45.614667265881565,-23.0167701535197
MT4361001445295191MT02,-45.62365791068402,-23.030643802269594
MT4362950345344254MT02,-45.62173555854912,-23.026219484941237
MT4354735945337667MT02,-45.62975488428043,-23.026782781600048
MT4367116145404434MT02,-45.617645322273745,-23.020799410364475
MT4370616345285192MT02,-45.614120630062985,-23.031841039132587
MT4368376445414171MT02,-45.61641142454755,-23.019924671286503
MT4361266245311209MT02,-45.62339282561834,-23.029197933437842
MT4381347845352423MT02,-45.603600018126315,-23.02529226502594
MT438307645358924MT02,-45.60208863008614,-23.02497030323684
MT4384289545368243MT02,-45.600919429587975,-23.023860517348965
MT4363144145332346MT02,-45.62155135850833,-23.027295863713107
MT437333345387175MT02,-45.61180078747634,-23.02259674414438
MT4370404145313577MT02,-45.61444786907384,-23.029320993069348
MT4360221845294492MT02,-45.62456548940577,-23.030713299179354
MT4382238245338662MT02,-45.60326023357288,-23.026791424084934
MT4367391445327491MT02,-45.617408310445114,-23.027750637381985
MT4373113345384788MT02,-45.61205835061236,-23.022774242437322
MT4355892545318992MT02,-45.628633958490354,-23.028474158155802
MT2992854ID,-45.61481629073916,-23.02759885610226
MT4371146845276124MT02,-45.61342953794281,-23.03240069803377
MT4363939745331864MT02,-45.62077511228159,-23.027342449494427
MT437097324527909MT02,-45.61376431686966,-23.032404819626663
MT4360375645313587MT02,-45.62426100683996,-23.02897970574878
MT132820822ID,-45.624553773937464,-23.02889102000455
MT4367031745327192MT02,-45.61775947501974,-23.027776275254837
MT4374833645369074MT02,-45.61047898551675,-23.024042351273465
MT4363789845342239MT02,-45.620917110736,-23.02640471380647
MT4357999945334727MT02,-45.62657071046988,-23.027060992270947
MT4370432145310234MT02,-45.61442904446477,-23.02960334961483
MT4363536645340273MT02,-45.621165026844494,-23.026581330763747
MT4365972545301392MT02,-45.61880381634302,-23.03010272066399
MT4359852545338097MT02,-45.62476131498266,-23.026763733059795
MT4354512545335392MT02,-45.62997385930612,-23.02698741153978
MT4362013745355791MT02,-45.62264481630518,-23.02517376765519
MT4372190345276126MT02,-45.612745898504386,-23.03240858598741
MT4384250945355223MT02,-45.600943513432355,-23.02530896993295
MT4382122345353804MT02,-45.603021413207614,-23.02542924436409
MT4375921245384424MT02,-45.609059402069704,-23.022953645494283
MT4382021145365145MT02,-45.60311561899056,-23.024404445308846
MT4364547945299581MT02,-45.620194895777786,-23.03026086284848
MT4368541845328192MT02,-45.61628531441568,-23.027691693117106
MT4385010345355538MT02,-45.60018134968948,-23.02558195014683
MT4356153245315892MT02,-45.62838083081067,-23.02875518730201
MT4370374745317114MT02,-45.61447382710537,-23.02901891798865
MT4353956945331085MT02,-45.630517890688054,-23.027374298085363
MT4362220345353354MT02,-45.62244420363703,-23.025394692411055
MT4361321445323091MT02,-45.62333401894978,-23.028124859674506
MT436351054529919MT02,-45.62120750452266,-23.030292209617755
MT4391126945331848MT02,-45.59393387454861,-23.02730979151363
MT4360611645294792MT02,-45.624038501975235,-23.030678343430736
MT4364233145299992MT02,-45.62050195400195,-23.030222532843595
MT4363414645334554MT02,-45.62128645600512,-23.027097454383977
MT4382806645354251MT02,-45.602353415677555,-23.025391410784948
MT437254945381269MT02,-45.612662763375795,-23.022997187969793
MT2992375ID,-45.62689542688241,-23.028943817403217
MT4364841845325592MT02,-45.61989732090461,-23.02791244340449
MT436446174532536MT02,-45.62026836769098,-23.0279319461024
MT4367736345409271MT02,-45.617038093733015,-23.020364848958593
MT4381840945357982MT02,-45.60329435564995,-23.02505080245254
MT4357950945316024MT02,-45.62662633983365,-23.028750221245673
MT4363743545334272MT02,-45.6209655922882,-23.027124186731783
MT4361631745323392MT02,-45.62303106253347,-23.028098863871435
MT4369302145328692MT02,-45.615543111125646,-23.027649416887016
MT4362831845324192MT02,-45.621859517502685,-23.02803120787388
MT4357792645336993MT02,-45.62677207317262,-23.026855506176616
MT4383516645356362MT02,-45.60164935083685,-23.025340974106598
MT4384801645360101MT02,-45.60040412704876,-23.024870383161613
MT43920294453581MT02,-45.59335474352656,-23.02507889637394
MT4373593545441301MT02,-45.61131238455886,-23.017496395642127
MT4370732845442127MT02,-45.61409103337445,-23.01742060257868
MT4382101145356737MT02,-45.6030409239994,-23.0251642303449
MT4367962445307107MT02,-45.61684084902589,-23.029820785900483
MT4384244145374849MT02,-45.600942162650654,-23.023528826693962
MT4383180645365944MT02,-45.60198373406206,-23.024336580668603
MT4370128745356837MT02,-45.61472488094847,-23.02511024404248
MT4374281845333792MT02,-45.61068120527335,-23.027207568274605
MT4384233245357859MT02,-45.60095973180614,-23.025070796180273
MT438288164536574MT02,-45.6022756126294,-23.024353897114622
MT438350445369099MT02,-45.60166686153639,-23.024052792402415
MT4358775745293078MT02,-45.626100677104546,-23.030923211736763
MT4382023445368535MT02,-45.603112011809856,-23.02409823784336
MT438498345360136MT02,-45.60022708291348,-23.024867893838177
MT4382723145374764MT02,-45.60244537585339,-23.023267204917545
MT4373590245441272MT02,-45.61154510662135,-23.01768591337418
MT438424424537493MT02,-45.600964126792974,-23.02322198070982
MT438358784533946MT02,-45.60208554900885,-23.02673772466619
MT4383087245339358MT02,-45.60256953265775,-23.026785203474333
MT4355649945312005MT02,-45.6288736476007,-23.02910434369045
MT4378796345337351MT02,-45.60667189089503,-23.026979909395266
MT43920294453581MT02,-45.59335122537868,-23.025077735349157
MT436525054529979MT02,-45.619509110556976,-23.030244669655758
MT4383479545366141MT02,-45.60169195711808,-23.024319895546682
MT4363372545338992MT02,-45.62132570511716,-23.02669641340873
MT4392479645359587MT02,-45.59247156790849,-23.024820245957528
MT4359811645294192MT02,-45.625307789822614,-23.030772694903874
MT436868634541657MT02,-45.6161080166716,-23.0197091496575
MT4362912545297692MT02,-45.62179174009668,-23.030425230140224
MT437035445330444MT02,-45.61442839515428,-23.027672808253442
MT4374772545333992MT02,-45.61020223714348,-23.027191349900818
MT4368162245327992MT02,-45.61665585938039,-23.027708315286475
MT4371220845445344MT02,-45.61362291286707,-23.017119629167496
MT4384991445358384MT02,-45.600202278712175,-23.02528332846282
MT4381528845338948MT02,-45.60400332269512,-23.026771156063944
MT4392025845358087MT02,-45.59291128153035,-23.024945062864333
MT4363372545338992MT02,-45.62132570511716,-23.02669641340873
MT4370755945287017MT02,-45.61414136213409,-23.03141938659536
MT437009345327622MT02,-45.614771687963014,-23.02774906896434
MT4355581545311436MT02,-45.62894063989859,-23.029155475544712
MT2996245ID,-45.60359432451844,-23.025284879793332
MT4388762645347892MT02,-45.59654339506159,-23.02598783127337
MT4362912245361299MT02,-45.62162771904394,-23.02483613607876
MT4369691745328792MT02,-45.615162848986245,-23.027641861682525
MT4380542545399201MT02,-45.60454487914279,-23.021322689890155
MT4370241745428692MT02,-45.614585185657745,-23.01862008235088
MT4363150345341755MT02,-45.6215414102079,-23.02644598369517
MT4370378645323405MT02,-45.614502186326774,-23.028234919605836
MT4361555145352186MT02,-45.62309386488994,-23.02549764140298
MT4384575345359951MT02,-45.60062503471755,-23.024883095078735
MT4382178845358312MT02,-45.60296446273975,-23.025022250776203
MT4369999245430566MT02,-45.61482106523994,-23.018449886552958
MT4357950945316024MT02,-45.62662633983365,-23.028750221245673
MT4389272645349292MT02,-45.59604512028602,-23.02586324639168
MT4381122345338907MT02,-45.60443475086299,-23.02680717660985
MT4361951845323592MT02,-45.622718584994686,-23.0280820276634
MT2989023ID,-45.62279380339129,-23.024995772936506
MT4382767245368509MT02,-45.60242592711478,-23.02354640124537
MT4362392545350801MT02,-45.62227721122429,-23.025625962068432
MT4371523445373973MT02,-45.61333794379101,-23.023826879107162
MT4382779545358724MT02,-45.60237806789348,-23.024987268047937
MT4384092145339964MT02,-45.60110459999726,-23.026686713321112
MT4384275945359751MT02,-45.6009173026913,-23.024900050896576
MT4393399545362487MT02,-45.59177487391128,-23.02462367394338
MT4389795645350797MT02,-45.59604512028602,-23.02586324639168
MT4363552645353405MT02,-45.62103558472444,-23.025530121318013
MT4369846645325973MT02,-45.61501283307575,-23.02789708658122
MT4375904345369868MT02,-45.609428710466545,-23.023979463481396
MT4382178845358312MT02,-45.60296446273975,-23.025022250776203
MT2991021ID,-45.62196129377867,-23.024453992557653
MT4382729445365632MT02,-45.60242418872531,-23.024363087286588
MT4363872545299892MT02,-45.620853920771765,-23.030230185174844
MT4369499845435885MT02,-45.61530623059804,-23.01796753247561
MT4392712445339212MT02,-45.59280660314215,-23.026449191576887
MT438426945371259MT02,-45.600942293052356,-23.0235361435781
MT4371512345375441MT02,-45.613356777393335,-23.023567647728726
MT4392720145337625MT02,-45.59269213563351,-23.026786373492314
MT4383527245359235MT02,-45.601648174523575,-23.024943885651737
MT439259364534294MT02,-45.592918567837614,-23.02612023845819
MT4370359145320276MT02,-45.61450107206679,-23.02869931242327
MT4364852545298992MT02,-45.61989786589373,-23.030315231362806
MT4359610445341053MT02,-45.62499635459807,-23.026495788150044
MT4383386945359136MT02,-45.601785134076636,-23.0249523069034
MT4375943145378034MT02,-45.609006298901534,-23.02351543578868
MT4369946445426371MT02,-45.614874308702326,-23.018828616247617
MT4358156145317969MT02,-45.62642526671266,-23.028575324691417
MT4385588345341019MT02,-45.59964400116968,-23.026596956484298
MT4393872645363892MT02,-45.59109811608516,-23.02443298529397
MT4358320445291285MT02,-45.626369942219014,-23.031027832568384
MT4382789545356886MT02,-45.602369045894704,-23.025153329662373
MT435840145319912MT02,-45.62618544989857,-23.02840076178569
MT4381253845345368MT02,-45.60401536911394,-23.02577313702062
MT4363680245377552MT02,-45.62071103828373,-23.023003767409875
MT4381105445349955MT02,-45.603777814094826,-23.025551106997966
MT438286945365731MT02,-45.602287911757685,-23.02435466333702
MT4384597845339913MT02,-45.600611095225815,-23.026693194735117
MT438498345360136MT02,-45.60022708291348,-23.024867893838177
MT438498345360136MT02,-45.60021958526562,-23.02502618081354
MT4390249145352479MT02,-45.5955341183049,-23.025729222225777
MT4373801845333392MT02,-45.611149812313954,-23.027241890900484
MT4392745745337699MT02,-45.59249364446606,-23.026879344506085
MT4367983245304275MT02,-45.61683809260387,-23.02996568646722
MT4358412645320007MT02,-45.62617408966247,-23.028392225420816
MT2986965ID,-45.62920966309542,-23.026327607732867
MT2983970ID,-45.59380737860761,-23.025212243350325
MT4363052745372763MT02,-45.62130540651924,-23.023416774764314
MT4361813145362539MT02,-45.62253561252845,-23.024345324776846
MT4358015845334554MT02,-45.62655526551305,-23.02707668094405
MT4371543945371104MT02,-45.61332077933048,-23.024088362387943
MT43700625453673MT02,-45.61478520117606,-23.024164881204285
MT4375550345369582MT02,-45.609660850667694,-23.0239941071423
MT43701145359322MT02,-45.61474211285815,-23.024885705810618
MT43701145359322MT02,-45.614848015223686,-23.02488881656558
MT4370102545361298MT02,-45.614748623050446,-23.024707187686545
MT4391442445333366MT02,-45.593903781434335,-23.027302045652846
MT4375935145387516MT02,-45.60906072677108,-23.02264019309041
MT4373660345396126MT02,-45.610912883222966,-23.02155215820551
MT4370022945373245MT02,-45.61482141147894,-23.023627725139363
MT437401834539639MT02,-45.610561074733766,-23.021531384765524
MT4372850245382812MT02,-45.61235291905194,-23.022912482624918
MT4374378745396635MT02,-45.61021209281381,-23.0215097866473
MT4370092545364299MT02,-45.61475715312008,-23.02443607176724
MT4390696645327408MT02,-45.594422528376924,-23.027621043276497
MT4392477445346577MT02,-45.593025562879404,-23.025815242379508
MT4372231945380318MT02,-45.61298349039572,-23.023028284727502
MT4374736245396889MT02,-45.60985970156395,-23.021489465566333
MT4382024745368458MT02,-45.603110774342724,-23.024105197696656
MT4358499845291991MT02,-45.62624927118685,-23.030976641358848
MT436446174532536MT02,-45.62027652184395,-23.02792251940872
MT4370374845446994MT02,-45.61444780881931,-23.016967383837653
MT4382723945374673MT02,-45.60242667175345,-23.023538177844614
MT4383505645369009MT02,-45.6016653362862,-23.02406092766961
MT4390363145295357MT02,-45.59503188741161,-23.030661814790847
MT4388811445350199MT02,-45.596489980727995,-23.025758953812613
MT4392720145337625MT02,-45.59268221791001,-23.026928952009484
MT4369875245453246MT02,-45.61493278352111,-23.01640075339202
MT4383523345359232MT02,-45.601651981353825,-23.024944141958542
MT4355306545342872MT02,-45.62919584231423,-23.026314835561152
MT4392916245338191MT02,-45.59249364446606,-23.026879344506085
MT4373593545441301MT02,-45.61130915329477,-23.017493788507466
MT4370444445328481MT02,-45.61442288231012,-23.027683849230186
MT2987479ID,-45.603872388599825,-23.026188029354046
MT4392723245337634MT02,-45.59266023398254,-23.02692316397281
MT4382805945354348MT02,-45.60235405959213,-23.025382645992295
MT435502245339992MT02,-45.629474698698345,-23.02657387808199
MT4390332445296212MT02,-45.595067589597534,-23.030568730462505
MT4384249945355326MT02,-45.60094444872726,-23.025299661949816
MT192421471ID,-45.595002264642744,-23.030739159184805
MT4391126145331861MT02,-45.59424451387315,-23.02744240554256
MT4383527845354839MT02,-45.60164851087006,-23.02534955903485
MT4376201745388039MT02,-45.60891022522668,-23.02226716509756
MT4375071445369238MT02,-45.61012834704553,-23.02402265612062
MT4376020845371833MT02,-45.60908312528596,-23.023954959653622
MT4391473245333453MT02,-45.59364632891493,-23.027235625323783
MT4359432545343341MT02,-45.62516901723632,-23.02628843056658
MT437592445380954MT02,-45.609041947128105,-23.023217477804337
MT4370012545374799MT02,-45.614830924507544,-23.023487314887632
MT4353956945331085MT02,-45.630517890688054,-23.027374298085363
MT4370042545370299MT02,-45.61480349068853,-23.023893908277216
MT4392586145337238MT02,-45.59268524682665,-23.02692975420473
MT4360071845294382MT02,-45.624819510112275,-23.030729459097188
MT435400445331445MT02,-45.630471772554245,-23.027341962061882
MT435331434535238MT02,-45.63117349376171,-23.0254593905384
MT4375910245388723MT02,-45.60904590684311,-23.02236094819915
MT4359311545293692MT02,-45.6254650821478,-23.03078652647696
MT4392254845353253MT02,-45.59327159221016,-23.02523448718182
MT4381122345338907MT02,-45.6038564741969,-23.026471276228392
MT43909431453299MT02,-45.594242380681294,-23.027445755517135
MT4367982545304598MT02,-45.61684029234556,-23.029848609125963
MT4382121645353915MT02,-45.60302205172627,-23.025419215124657
MT4358775745293078MT02,-45.62588334603953,-23.03075777335249
MT4370114845358037MT02,-45.614737955292355,-23.025001796595575
MT436768345394943MT02,-45.61709541022498,-23.02165843109168
MT4375223445334493MT02,-45.609761988424964,-23.027147790338233
MT332549029ID,-45.61767354749617,-23.02101862281114
MT4372590345298845MT02,-45.612346242485046,-23.030357914985757
